legacy_gestore_id,percorso,img
4,lisozima,up.aspx.jpg
15,Diaspora,Diaspora-Logo.jpg
22,FestaMesta,im00058881.jpeg
26,RossoBand,logo.jpg
30,ROSPIEROGENI,logo.jpg
32,gianlucadibonito,26219527_2017077241898443_441345644555632002_n.jpg
36,liberisucauzione,{83EACBF6-6C36-49D0-B390-5811742AE94C}_Logo.jpg
38,Sovversa,logo.jpg
50,AQUEFRIGIDE,AQUEFRIGIDE.jpg
68,STORMYSHOUT,logob.jpeg
69,marvin,puffo.jpg
82,ROCKGAMEIT,168891_10151460222544667_967967175_n.jpg
90,BorninOrn,MYB.jpg
97,scat,SCAT.gif
105,Paintedofblues,pob1.jpg
108,BiancoPlumbeo,biancoplumbeo.gif
111,TheIcelighters,b_nICE.jpg
116,lowfi,logo.gif
124,JethroTrilli,getrò definitivo x cd.jpg
127,ROSSOCENERE,COPERTINA-LOGOWEB.gif
131,madadayo,{7513DDEA-241A-4098-9524-81D87B6863F3}_logo.jpg
143,MicheleContegnoelaGrandeBevuta,{7A700C3D-3C7F-4B81-98A6-E2040632898F}_ZAT1.jpg
144,exxonValdez,16cm.jpg
168,BatteriAcrobatici,wow.jpg
190,AGLAIA,logo.jpg
192,jahina,{8CF5FAA3-2B53-41E7-A505-AD476309E402}_Jahina.jpg
195,DullNoise,dullnoiselogo.jpg
200,RanaUei,Logo manifesto Ranauei mini.jpg
201,MilkShake,bannermilka.gif
203,Glebula,my-band_logo.jpg
206,Insiria,{EF8DE4E5-A3F7-41F4-8286-01916D8C900F}_newLoka5.bmp
247,Pornopilots,pplogo.gif
248,ResetVt,Logo Reset per sito copia.jpg
250,PhysiqueduRole,500.gif
254,InnoIt,{5DE7E601-9ABF-42C5-B956-E04132BF19F2}_logo bianco.jpg
256,Frastuono,loghinomyband.jpg
257,DROPOUT,drop_out.gif
259,ENTROPY,PICT0008.JPG
261,AYEDAVANITA,loghetto.psd
264,EyesofMedusa,LOG.jpg
267,SweetFlavour,SweetFlavour_nature.jpg
270,Laconico,laconico e marvin.JPG
279,RELAYPSE,LogoPietra.jpg
281,Ammuina,Logopiccolo.jpg
283,ConcettoEtico,CE topsito.jpg
289,sputnik,sputnik676.jpg
297,BLINDTOWN,logo bt.jpg
299,zuaneken,znk 140x90.JPG
314,MireaScar,mslogo(black)XS.jpg
315,domenicabluff,logo.jpg
318,DanieleGiovannoni,Logo.jpg
320,BlueCatBlues,logo_140x90.jpg
331,Extraforg,extraforg_sanscemo2004.jpg
340,Route666,Logo.jpg
343,Iride,logo22.bmp
346,Moodhula,{5DBACF04-CF82-4DE1-B0A3-81747B6A9616}_ominosito.jpg
348,Bside,MyBandPic.gif
368,jimihendrixcoverband,{7FC28101-1ADA-4DD6-A48B-B5F1ABE0B954}_1burn.jpg
387,HYDRA,copertina-hydra-web-HYDRA.jpg
390,ControventO,Cv_-_lampadina.JPG
391,DEMETER,banner2.jpg
394,ONCEUPONATIMEatributetoPearlJam,Once.bmp
397,RAdIoCaOs,new logo 2 RC.bmp
398,ZeroLabStation,ZLS_Band.bmp
399,TINOPASCUCCIBAND,fans club logo.bmp
400,TARA,logo 140 x 90.jpg
405,Stargazer,logofansclub.JPG
411,BeddaMatrixBand,beddamatrix.jpg
455,bromio,{62A350D6-F6E3-42B4-A857-EC0657ED6836}_bromio.jpg
457,drt,{63041737-61FA-42DE-A137-86F68706F794}_sputnik676.jpg
459,666,Silent Scream.bmp
470,IstericA,logo IstericA.jpg
473,24hours,{1B4AA411-51BD-4E41-946B-FE7471893AC9}_24h_logo.gif
474,adlibitum,Senza titolo 1.gif
483,gotham,GOTHAM LOGO3.JPG
491,judie,JUDIE.jpg
503,husk,nq.jpg
504,innexto,logo2.jpg
513,iridyum,logo iridyum.JPG
521,MOTOPERPETUO,logo.jpg
522,kb,Backup_of_logo.tif
523,endless-time,bannerino.jpg
524,BPM,Foollyk6.jpg
525,neurotic,newlgomaster2.jpg
527,formatoam,jesusspliff.jpg
528,autoridadloca,LogoA4.BMP
532,DEE-DEE-PIERRE,logo.jpg
534,jackanotherdrink,jeremy.jpg
536,dixonhill,logo_little.jpg
541,quasarband,otranto.JPG
544,stainofus,stainofus 017.jpg
1145,Stilema,Stilema 003.jpg
1150,avenueband,logo Avenue 140x90.jpg
1151,D4V1S0N,2.jpg
1155,theflyingcats,flying_cats_logo.jpg
1156,parzialmentesklerati,Logo.jpg
1158,sleepteasy,ST_myband2.JPG
1166,suonospray,Logo.jpg
1172,mrgauss,Logo cell.jpg
1180,gionimadatawy,logo.jpg
1184,moist,moistlog.jpg
1192,moodysound,fotom_s.JPG
1193,marcogiolli,logo sito.gif
1197,andreatorello,logo.jpg
1199,progeny,locandina.jpeg
1209,sartory,S.jpg
1214,coolmania,logo.JPG
1215,trambuska,trambuska.gif
1216,tenia,foto_tenia_live_15.jpg
1217,runaway,BJ_logo.gif
1228,shortcircuit,ShortS.JPG
1241,NoName,nonamesound.jpg
1242,alterego,LogoFirework140x90.png
1249,risinside,logo_2009_white.jpg
1259,speciallymild,logo.png
1263,zeder,Immagine 030.jpg
1264,onewayroad,a.jpg
1269,touch,m_69e03255b77f0834e0c2d44b80fdba43.jpg
1270,faq,foto.jpg
1271,impact,impact3.jpg
1272,propaganda,whythink.jpg
1273,FreeLife,Free Life logo.jpg
1275,moonflowers,moon.jpg
1280,beatlejuice,Per Myband.jpg
1281,pororoca,td01.jpg
1289,rainbowfuturemouth,logo.bmp
1292,thestream,Dan-2-no-s.jpg
1293,ghibli,Ghiblilogo.jpg
1302,veda,LOGO VEDA MYSPACE.jpg
1304,sliding-colours,sc_lgo.jpg
1307,BlackShake,logo.jpg
1308,forbiddengrace,Forbidden Grace Logo.JPG
1311,pspies,The Psychic Spies.jpg
1319,suite,logo.jpg
1321,sleys,Logo Cuore.jpg
1322,quintomondo,logoniu5.jpg
1323,quiver,concerto quiver 2005 031.jpg
1329,orgasmosonico,(b)onografia_sull'ida_schiuma_.jpg
1331,percorsoweb,fespic02.jpg
1342,ordem,2155162.bmp
1350,esdem,cover frontmy band.jpg
1352,scalyanteater,titolo.gif
1355,dioniso,LOGO.jpg
1365,Deva,DevaLogo.gif
1371,La-Rambla,La Rambla 6.jpg
1373,ultiva,logo.jpg
1376,storia,band_uziel_logo.jpg
1378,acousticdreams,logo.jpg
1379,lolablau,star.gif
1380,Nomorefoolideas,copertina cd1.jpg
1388,echoes,echoes3.jpg
1392,sballiravvicinati,2SballiRavvicinati.gif
1394,worthless,logo.jpg
1395,rip,riplogo.bmp
1400,torrisonore,pensieri_nel_deserto.jpg
1409,nibelheim,nibelheim2.jpg
1411,Lampigrevi,schiacciamola2.JPG
1418,dna71,logo.jpg
1428,anietzka,aaaO.JPG
1433,ametistaband,Ametista articolo.jpg
1439,mystiqueband,mystiqueband.jpg
1442,METASTRADA,METASTRADA-foto.jpg
1445,megamouth,copertinaFINALE copy.jpg
1457,MarcoDecrestina,logo.jpg
1458,bborkestra,HP_r6_c7.jpg
1459,silentvoid,banner...GIF
1460,poetica,logomyband.GIF
1461,sharpdressedman,Immagine.JPG
1466,myblackpage,Logo1.JPG
1469,crowdead2,VF.JPG
1472,Daydream,zaersa.JPG
1473,kernelzero,k-0.gif
1478,ushas,acidamodificata.jpg
1490,BacioDiGiuda,BDG2.gif
1520,blizzardoflizard,lucertola_blu.gif
1525,shadesoflight,Logo Shades Of Light.jpg
1527,casciola,analuna10.jpg
1530,blueswing,j.jpg
1531,kylamoyl,Andrej5.jpg
1536,brightnessformetalsake,brightness.JPG
1539,POLFEAR,logo mini.jpg
1540,crawler,logo.jpg
1543,TINKERBELL,logo_NB.JPG
1545,esperia,foto_esperia.jpg
1548,underdogs-band,gruppi-stoner-5-400x300.jpg
1554,Taigasunrise,taiga1.jpg
1556,overload-sound,group.jpg
1558,blackburn,logo.jpg
1561,lop-sided,lolo.JPG
1562,madame-lingerie,logo_rosso.gif
1563,annitaegliogm,Logo-Anny.jpg
1570,koiné,Koiné Adesivo New.bmp
1573,Thepounds,logo.jpg
1574,vegasonline,Vega-sloc.jpg
1579,SenSelesS,logo senseless.jpg
1581,livingforsunday,LFS2.jpg
1588,Hezel,Hezel logo 3.jpg
1589,anomalya,Untitled-2.jpg
1593,athea,banner athea.jpg
1594,theneighbours,dazed.jpg
1595,yaleo,logo.jpg
1597,zimbawa,Copia 2 di Zimbawa 3 (13).jpg
1600,thesnookys,nome.jpg
1604,funkazzisti,funkakakka_small.gif
1605,cloweb,cloweb026.jpg
1611,Rossomagnetico,a.jpg
1613,maimale,maimale.logo.jpg
1615,joebustedband,Joe Busted Band.jpg
1617,dionisio,LOGO.jpg
1621,blackrose,black rose logo.jpg
1624,borderline,borderMAskblog copy.jpg
1625,experia,logoeXperia2.jpg
1634,dealibera,aliLogo.jpg
1641,atgod,skyhell.bmp
1647,midnightmadness,logo.jpg
1648,fourfahr,Copertina2.jpg
1656,under-shock,UNDER.bmp
1662,inkalive,sole nero cdr.png
1666,BLACKROSES,LOGO.jpg
1673,postmodern,post_modern !red.jpg
1675,fioridibach,permyspace.jpg
1676,phonema,logonegativo.jpg
1678,neraluce,nl 2.jpg
1679,sicksenders,logo.jpg
1680,malachite,malachitelogo.jpg
1681,Arles,MarcoLOGO2.jpg
1682,tiresia,avatar.png
1684,rau,imagebox.gif
1687,MoreChoice,homeh1.gif
1692,dropofmadness,Logo.jpg
1695,salvobenson,Mario fans club 003.jpg
1702,ipernova,308390-329-1122768424-73_1_b.jpeg
1710,samizdat,Cartolina new per siti.jpg
1712,mamadagan,quadricromia(1).jpg
1718,mamalook,Logo.bmp
1737,dionisofe,DIONISO-hard rock (FE) copia.jpg
1744,fightthesystem,my-3.jpg
1755,vinny,image_info.jpg
1762,chardham,logo_ch.gif
1768,frab,frab_logo_3D_2.jpg
1772,fireflybluesband,29-12-2007%20fireflybluesband%20gruppo%20finale.jpg
1781,nosense,the no sense.JPG
1783,aboxj,Abox J logo.JPG
1794,pg,THE PAK-PALMER2.jpg
1795,dodostop,dodo stop 1 copia web.jpg
1797,spleen,spleencentro.jpg
1807,anotherchannel,Another.bmp
1808,123,blackla'.JPG
1817,diadema,Immagine.bmp
1819,maestridellozio,MdO_scr_.jpg
1831,stoneover,Omini superstone.JPG
1840,soulstice,soulstice-logo-my-band.jpg
1841,SnP,fronte cover speed.jpg
1842,darkene,logomyband.jpg
1844,stompcrash,stomp.jpg
1848,proximaluna,Logoproxima.jpg
1849,calibro69,logo calibro 69 piccolo.jpg
1860,dozeneyes,IM000396.JPG
1861,Drunk,sil-western-pleasure.jpg
1871,vithra,simbolo_myband.jpg
1879,bandoniafly,bandonia2_01.jpg
1881,propertyofnowhere,logo.jpg
1888,progettozeno,PZlogo.jpg
1894,chakrah,chakrah cover CD.jpg
1895,thenoodles,xxx.jpg
1905,Voradica,voradica adesivo rettangolare.jpg2.jpg
1908,Luigidb,luigi (3).JPG
1909,deadpoets,dp2.gif
1916,labandalarga,logonominidisk2.jpg
1927,colpadalfredoband,Foto colpa rid ok.jpg
1929,spaccailsilenzio,toplogo.jpg
1932,easysex,Easy Logo.jpg
1933,virginnoise,logo.jpg
1935,rottenshore,logo.jpg
1938,nunu,sitonunuimm2.jpg
1942,jessenia,KIF_1104.jpg
1943,Syler,Copia di overspeed1.JPG
1944,traumen,TRÄUMEN (logo)_sfondo nero(wallpaper2).jpg
1953,Zero-24RockBand,Logo ANGOLO DEL DISCO.jpg
1961,heike,ahah.jpg
1985,ethe-real,logo.gif
1987,ENRICOFILIPPETTI,egitto 91cor.jpg
1988,GPLHC,GPL - Logo.jpg
1991,animapopolare,anima popolare.doc
1992,FLASH,235 modificata senza data.JPG
1995,Murnau,61R5oeNfRQL._SL500_AA280_.jpg
2009,FullImmersion,Deep Full Immersion.jpg
2012,neronirica,nerologonew.jpg
2013,maiself,l_7208674a968e74e54dbc647c8ee778ed.jpg
2014,safecrash,SAFE ok ok.jpg
2020,skuma,logoooo.jpg
2021,breakage,breakdisco2.jpg
2023,morninglory,esordio morning glory 070.jpg
2033,eyestonebrain,perdita-front piccola.jpg
2035,skay,4+.jpg
2045,psychicinstitute,Foto(20).jpg
2054,RedMoon,Red-moon.jpg
2067,poohlover,wallpaper1024.jpg
2074,orb,orb SPECCHIO.jpg
2110,4ever80,logo 4ever.jpg
2111,acrylate,logo ACRYLATE.jpg
2125,autumnsrain,logo x rockit.jpg
2130,doublesense,Senza titolo-1.jpg
2131,56295162131,logo.jpg
2140,babbabia,sfera blu 2.JPG
2149,jtrsickert,logo.jpg
2153,noscrape,logon.jpg
4372,parker,logo.jpg
2178,ARTICA,logo.bmp
2179,lagiungla,immagine piccola.jpg
2187,ellle,Image061.jpg
2202,Ska,sottocosto.jpg
2204,punk,m_235a1b5ee8cb4b674fa352644469c7a2.gif
2210,rock,logo_zorama.jpg
2227,4shots,Immagine 014.jpg
2229,thejar,logo jar.jpg
2233,percorso,logoG.bmp
2236,duro,mano per logo.FINITA.jpg
2238,MANIPURA,simbolo_per_radio.jpg
2246,SOUTHERNKROSS,malcolmx.jpg
2247,69dealers,logo.jpg
2248,ytytytyt,Stemma1bwj.bmp
2249,misszebra,logo1.png
2250,KATARROCK,logo.jpg
2257,portofranco,gall0001.jpg
2262,eyescream,1385873089_s.jpg
2263,keithonirika,logoV.jpg
2268,live,etiopilogo.jpg
2270,MayDay,DSC02789.JPG
2271,Netto,logo.jpg
2272,thebeaters,The_Beaters_The BIG LOGO.jpg
2285,gruppozed,PDVD_007 bis der con bordo.JPG
2286,pausacaffemusic,logo2.jpg
2293,altatensione,pericolo_tensione_elettrica_pericolosa.bmp
2294,mexcal,LOGOBLU.JPG
2298,chicretro,ChicRetro dolls xxx.JPG
2301,biogenetyka,Aquila Biogenetykaconscritta.JPG
2302,JALEBI,SQUAREmira94sunLOGO  square.jpg
2305,GLEMM,glemm logo.jpg
2306,tiex,Sabbia.jpg
2310,RubieraRock,RubieraRock.jpg
2313,drouned,Immagine 067.jpg
2315,HEARTsinPAIN,logos.jpg
2319,praeludium,logoPraeludium.bmp
2324,theniceprice,logobiancosunero1.jpg
2325,repetra,repetra-logo.gif
2326,tittitwister,foto minuscola.jpg
2329,lanomalia,lanomalia+serpente.gif
2330,TheStage,logohigh (1)_Page_1_Image_0001.jpg
2331,kamon,logo445piccolo30kb.jpg
2335,DeadlyCarnage,logo modif.JPG
2337,Pornology,1.jpg
2342,Ibambinidellospedalepsichiatrico,Scoppiati.JPG
2343,mantica,jack_mantica2small.jpg
2347,sindromedipeterpan,pranoggio.jpg
2349,SevenTips,7ips-1.jpg
2352,STUBS,STUBS logo.jpg
2367,humanoalieno,bombola1.jpg
2382,gianluca,GetThumbnailImage.jpg
2388,alagoas,11_02_2.JPEG
2404,acidentity,logo3.jpg
2407,thefuzzes,logo.GIF
2408,thegriphon,GRIPHON.bmp
2410,foja,scrtta.jpg
2411,nuclearshadow,wallpaper_1.jpg
2415,overtures,Logo 190x160.jpg
4340,38283242039149294340,logo.jpg
2425,thesborz,question-mark-blue.gif
2428,gliemblema,Gli Emblema.jpg
2429,fine99,Senza titodlo-1.jpg
2430,antimateria,astratto.jpg
2431,Random,random 1.JPG
2434,THEMAJESTY,IMG_0337.jpg
2449,figlidijohn,682848226_m.jpg
2450,thanatos,Logo.gif
2451,psychopathicromantics,Psychopathic  Romantics - Altered Education1.jpg
2453,provinciasonora,242348039_294f559e8d_o.jpg
2455,198499622455,21245624_342515689535390_1677941448_n.jpg
2457,humanoira,llogo.GIF
2482,BrokenMelody,Broken Melody SMALL LOGO.tif
2486,Logica,Live sotto le stelle.jpg
2487,abulico,1237149873_BIG_foto+logo.jpg
2488,hotlips,hotlipslogo2.jpg
2496,monkeyinblues,avat.jpg
2500,tntporkpunk,ee.jpg
2501,apolidia,logoApolidia.jpg
2506,DIASTEMA,LOGO DIASTEMA.jpg
2511,thecorianderstem,The Coriander Stem - best colori (4).jpg
2516,drunkmonkey,dm_logo.bmp
2517,senzatesta,LOGO ST.jpg
2518,NaaDiR,logo NaaDiR.gif
2519,amoga,muro.jpg
2521,astrdalong,m_eb4b857e962d164ad737b9bfb4cffe38.jpg
2522,cattura,c.a.t.t.u.r.a..JPG
2525,thelost,croix2.jpg
2526,vincenzosorgente,ENZO.JPG
2530,enzosorgente,inside blues logo.BMP
2534,timeless,timelesslogo.jpg
2535,RADIAZIONE,t-rad (2).jpg
2538,marilit,logo.gif
2539,BiogenetykaFANCLUB,Biogenetyka%20(Simbolo)4df.JPG
2540,riflessi,100_1495.jpg
2547,Riverside,riverside_c.jpg
2548,Massafurtiva,Sony_Ericsson.gif
2549,theweakestbaboons,cover.jpg
2551,mrxsyn,21-04-07_1228.jpg
2554,bloodymery,ROSE.JPG
2556,Eclipse,eclipsebandorock5.bmp
2559,apotropaica,apotro1.jpg
2560,conglomeratobituminoso,conglomerato.JPG
2563,thelittlewhitebunny,TLWB-coniglionstage-300px.jpg
2564,evolve,LOGO.jpg
2565,Focktotum,DSCN2356.jpg
2569,IRONearthquake,LogoIE-effectfinaleluce1b.jpg
2572,Thejokes,Scansione.jpg
2573,technicolourdream,logo.jpg
2578,SHAMAT,SHAMAT LOGO 1.jpg
2579,outcube,logo.jpg
2580,funkymonkeys,foto band.jpg
2581,roadies,fragola rock 2.jpg
2582,roxpopuli,Immagine.bmp
2584,senzasenso,5270aurora.jpg
2586,driverdeniro,ddn2.JPG
2587,nessunpericolopervoi,LOGO.jpg
2589,CIRCLE,Circle.JPG
2590,BEMS,bems.jpg
2592,theditasproject,copertina album(1).jpg
2593,dot,logo dietro.jpg
2595,soggettismarriti,SOGGETTI SMARRITI.jpg
2598,fuoritempo,logo_FT_versione_1b80.gif
2600,nuovaipotesi,Logo.JPG
2601,elefunk,logo.jpg
2602,rhfs,logo rhfs baseball.jpg
2604,memoria,title.jpg
2605,maybeesite,MAFIA MAYBEE.JPG
2606,oneiros,lavoro.bmp
2609,THEFUCKERS,fuckers-fotoweb.jpg
2610,lostark,logo 3.jpg
2613,mudlarks,2.jpg
2614,devilsband,red.JPG
2621,Antonomasia,anarchy2.jpg
2622,percorsobohemiankarma,logo.jpg
2625,senzaessenza,bennyCupido_tnx_for_add-1.jpg
2630,skattegat,aristopunk.jpg
2633,preyofthewhiterabbit,MySpace logo.JPG
2639,anothercrazyband,Another Crazy Band.jpg
2641,whispers,copertina avanti!.jpg
2642,bloodyguns,01 copy.jpg
2643,Thelazyrabbits,Immagine.bmp
2646,rifflessi,rifflessi - promozionali (6).jpg
2647,spasmodicamente,title.png
